HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,creepyrain,gale,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,fzmushko,chabodennis,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,fateos,frangalindo,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,iceman,luke,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,moluk,jarla,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,ynglimg,nalguidan,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,ignite,andre,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,vardu,slyssa,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,tsukaime,woven,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,denimblue7,freddykuhl,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,crane333,torlk,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,deldeck,quickwell,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,menlyn,tictac,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,stevefrench,yukulovicz,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,gambit,janetzky,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,norage,tixuty,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,штанудачи,sasharain,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,鼎王麻辣鍋,maverick,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,glaser,geo,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,aragorn,kotheslayer,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,kufdon,superlubo,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,magizmicka,lordxopy,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,seiko,babochka,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,philo,olivierdulac,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,goodfeller,kuonet,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,itsmemv,alwor,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,chainsmoker,plastiik,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,somitequila,nikolasdlp,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,k1ng,skip,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,noname,windello,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,valdaboy,matixo,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,psyhodel,eddstark,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,anerg,iniven,1,3
