HCT Tokyo,Japan Qualifier,Conquest,Swiss,https://battlefy.com/hct-tokyo-tour-stop/hct-tokyo-tour-stop-japan-qualifier-asia-server/5ad6fdcfd7c9c503592b6b31/stage/5b36db0354aa1e03a3ddaa75/bracket/
HCT Tokyo,Japan Qualifier,Conquest,Top8,https://battlefy.com/hct-tokyo-tour-stop/hct-tokyo-tour-stop-japan-qualifier-asia-server/5ad6fdcfd7c9c503592b6b31/stage/5b386259b0dfdc03a52a9aa8/bracket/
HCT Tokyo,Live Finals,Conquest,,
HCT German TakeTV (S3),Global Qualifier,Conquest,Bracket1,https://battlefy.com/take-tv/hct-germany-a-taketv-tour-stop-global-qualifier/5b3507da2c185e0397195db8/stage/5b35088373abf503c89a2351/bracket/
HCT German TakeTV (S3),Global Qualifier,Conquest,Bracket2,https://battlefy.com/take-tv/hct-germany-a-taketv-tour-stop-global-qualifier/5b3507da2c185e0397195db8/stage/5b4382bdd4facf039b6922f5/bracket/
HCT German TakeTV (S3),Global Qualifier,Conquest,Bracket3,https://battlefy.com/take-tv/hct-germany-a-taketv-tour-stop-global-qualifier/5b3507da2c185e0397195db8/stage/5b43836852891c03e07ea9ea/bracket/
HCT German TakeTV (S3),Global Qualifier,Conquest,Bracket4,https://battlefy.com/take-tv/hct-germany-a-taketv-tour-stop-global-qualifier/5b3507da2c185e0397195db8/stage/5b4383c4439a3803c73d7040/bracket/
HCT German TakeTV (S3),Europe Qualifier 1,Conquest,Bracket1,https://battlefy.com/take-tv/hct-germany-a-taketv-tour-stop-european-qualifier-1/5b350c75b36e6203a5e2eb02/stage/5b45420e13c25703b3834359/bracket/
HCT German TakeTV (S3),Europe Qualifier 1,Conquest,Bracket2,https://battlefy.com/take-tv/hct-germany-a-taketv-tour-stop-european-qualifier-1/5b350c75b36e6203a5e2eb02/stage/5b454207b394d103b9bad75a/bracket/
HCT German TakeTV (S3),Europe Qualifier 1,Conquest,Bracket3,https://battlefy.com/take-tv/hct-germany-a-taketv-tour-stop-european-qualifier-1/5b350c75b36e6203a5e2eb02/stage/5b45422ae2eb9603ba9a99da/bracket/
HCT German TakeTV (S3),Europe Qualifier 1,Conquest,Bracket4,https://battlefy.com/take-tv/hct-germany-a-taketv-tour-stop-european-qualifier-1/5b350c75b36e6203a5e2eb02/stage/5b4542678c67fb03e0534cb5/bracket/
HCT German TakeTV (S3),Europe Qualifier 2,Conquest,Bracket1,
HCT German TakeTV (S3),Europe Qualifier 2,Conquest,Bracket2,
HCT German TakeTV (S3),Europe Qualifier 2,Conquest,Bracket3,
HCT German TakeTV (S3),Europe Qualifier 2,Conquest,Bracket4,
HCT German TakeTV (S3),Europe Qualifier 3,Conquest,Bracket1,
HCT German TakeTV (S3),Europe Qualifier 3,Conquest,Bracket2,
HCT German TakeTV (S3),Europe Qualifier 3,Conquest,Bracket3,
HCT German TakeTV (S3),Europe Qualifier 3,Conquest,Bracket4,
HCT German TakeTV (S3),Live Finals,Conquest,,
Copa America Winter,Americas Qualifer 1,Conquest,,https://battlefy.com/promo-arena/hearthstone-copa-america-winter-season-american-qualifier-1/5b05d26ac49a3303c65ebe03/stage/5b1c32d4ed91af03c1a8e66b/bracket/
Copa America Winter,Global Qualifier,Conquest,,https://battlefy.com/promo-arena/hearthstone-copa-america-winter-season-global-qualifier/5b05d386259c2303c77189b0/stage/5b22c98706414e03d0e38fb0/bracket/
Copa America Winter,Americas Qualifer 2,Conquest,,https://battlefy.com/promo-arena/hearthstone-copa-america-winter-season-american-qualifier-2/5b05d2c85ea89e03d3a54e2a/stage/5b2c03afb5171903c0787174/bracket/
Copa America Winter,LATAM Qualifier,Conquest,,https://battlefy.com/promo-arena/hearthstone-copa-america-winter-season-latin-american-qualifier/5b05d471bc7a1d03c1b48850/stage/5b25786014b46203cc89e473/bracket/
Copa America Winter,Qualifying Duels,Conquest,,https://battlefy.com/promo-arena/hearhstone-copa-america-winter-season-qualifying-duels/5b32cc0b0091e603b4a319d4/stage/5b401ae7e2a24a03aca983fb/bracket/
