"battletag","class","deckstring"
"Vinz#2814","WARLOCK","  AAECAf0GDIoBkwGjAfIF+waKB/sHoM4Cws4Cl9MCy+wCzfQCCbYH4QeNCOfLAvHQAv3QAojSAtjlAoCKAwA= "
"Lucken#2174","WARLOCK","  AAECAf0GBPfNApziAvT3Ao+CAw0whAH3BPMFzgfCCPcMm8sCn84C8tAC0eECh+gC0/gCAA== "
"Lucken#2174","HUNTER","  AAECAR8I+AjtCdPFAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA== "
"Lucken#2174","ROGUE","  AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gFmwXUBYYJl8EC/MEC2+MC9uwC4vgCAA== "
"Lucken#2174","DRUID","  AAECAZICBP4BmdMChOYC4vgCDUBf/QL3A+YFhQjkCKDNAofOApjSAp7SAtvTAtfvAgA= "
"Vardu#2836","WARLOCK","  AAECAcn1Agr7BvsHzAiuzQKgzgLCzgKX0wK/8QLN9AKn9wIK8gWKB7YH4QeNCOfLAvHQAv3QAojSAtjlAgA= "
"Vardu#2836","SHAMAN","  AAECAaoICv4F/wXTxQLPxwLCzgLrzwKc4gLD6gKn7gLv9wIKgQT1BN4F68ICysMCm8sC+9MC0eEC3+kC4vgCAA== "
"Vardu#2836","HUNTER","  AAECAYoWCvgIxsIC08UC3dIChtMCnOICtuoCy+wCgPMCufgCCo0BlwirwgLYwgKbywKczQLTzQKL4QLh4wLy8QIA "
"Vardu#2836","DRUID","  AAECAbSKAwiiCcLOApnTAq/TAv3hAvnmAvHqAvH7AgtAX+kB/gHkCIjBAsnHAqDNAp7SAubTAt3rAgA= "
"Felkeine#2360","WARLOCK","  AAECAf0GBPcEysMCnOICj4IDDTCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA= "
"Felkeine#2360","DRUID","  AAECAZICBPcDm8sCmdMC9fwCDUBf/QLmBeQIoM0Ch84CjtACmNICntIC29MC1+8C4vgCAA== "
"Felkeine#2360","ROGUE","  AAECAaIHBLICrwTKwwKe+AINjALLA9QF8wX1Bd0IgcIC68IC0eECi+UC/eoCpu8C4vgCAA== "
"Felkeine#2360","PALADIN","  AAECAZ8FBK8E8wWe+ALi+AINRvkK68ICg8cCuMcC48sC+9MC0eEC1uUCteYC/eoC9v0C1v4CAA== "
"Silvors#21299","HUNTER","AAECAR8I+AjTxQKbywKG0wKc4gK26gLL7AKA8wILjQHeBZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA=="
"Silvors#21299","SHAMAN","  AAECAaoICPsM08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4F/wWyBpfBAsfBApvLAvPnAu/xAgA= "
"Silvors#21299","DRUID","  AAECAZICCla0A+0FmdMCm+gC/esCmu4Cv/IC5PsC9fwCCkBf6QHTA+QIoM0Ch84CmNICntIC29MCAA== "
"Silvors#21299","WARRIOR","  AAECAQcI08UCz8cCw+oCmu4Cze8CkvgCnvgCoIADC0uiApMEogTeBZvCAqLHAsrnAoP7Ao77Ap77AgA= "
"A83650#2106","ROGUE","  AAECAaIHBK8En8ICnvgC5/oCDYwCywPUBfMF9QXdCIHCAuvCAtHhAovlAqbvAsf4AuL4AgA= "
"A83650#2106","PALADIN","  AAECAZ8FBq8EpwXrwgL96gKe+ALi+AIMRvMF+QqDxwK4xwLjywL70wLR4QLW5QK15gL2/QLW/gIA "
"A83650#2106","DRUID","  AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA "
"A83650#2106","WARLOCK","  AAECAf0GApziAo+CAw4whAH3BPMFzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA== "
"kolmari#2701","ROGUE","  AAECAaIHBrICrwSBwgLrwgLL7AKggAMMtAGMAs0DvQSbBYgHpAeGCdzRAtvjAqbvAvWAAwA= "
"kolmari#2701","HUNTER","  AAECAR8Mlwj4CO0JxsIC08UC080ChtMCnOICtuoCy+wCgPMCoIADCY0Bq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA== "
"kolmari#2701","MAGE","  AAECAf0ECMUE08UCoM4Cws4Cm9MC8tMCo+sCoIADC03JA+wHiMECm8IClscC1eEC1+ECluQCt/ECw/gCAA== "
"kolmari#2701","DRUID","  AAECAZICBIfOAsLOAq/TAvHqAg1AX+kB5AjJxwKU0gKY0gKe0gLm0wKL4QKE5gLd6wKN8AIA "
"Findan#2596","HUNTER","  AAECAR8MjQH4CO0J68IC08UChtMCnOICtuoC/eoCy+wCgPMC4vgCCZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA== "
"Findan#2596","DRUID","  AAECAZICBpnTApvoAv3rApruAr/yAuT7AgxAX+kB/gHkCKDNAofOApTSApjSAp7SAtvTAoTmAgA= "
"Findan#2596","ROGUE","  AAECAaIHBvzBAobCAoDTAs/hAtvjAsPqAgzEAZwC7QKfA4gFmwXUBYYJl8ECx9MC9uwC4vgCAA== "
"Findan#2596","WARLOCK","  AAECAf0GBPMFnOIC7/ECj4IDDTCEAfcEzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA== "
"zorkthar#2342","PALADIN","  AAECAZ8FBK8E+Qr96gKe+AINRvMF68ICg8cCuMcC48sC+9MC0eEC1uUCteYC4vgC9v0C1v4CAA== "
"zorkthar#2342","WARLOCK","  AAECAfqUAwTzBffNApziAo+CAw0whAH3BM4Hwgj3DJvLAp/OAvLQAtHhAofoAvT3AtP4AgA= "
"zorkthar#2342","MAGE","  AAECAc2xAgSrBL8IotMC7vYCDXG7ApUDtATmBJYF7AXBwQKYxAKP0wL77AKV/wK5/wIA "
"zorkthar#2342","ROGUE","  AAECAaIHBLICrwSe+ALn+gINjALLA9QF8wXdCIHCAp/CAuvCAtHhAovlAqbvAuL4Avr+AgA= "
"Savvat#21946","PALADIN","  AAECAZ8FBK8Elc4Ci+UCnvgCDUbzBfUF+QrrwgKDxwK4xwLjywL70wLR4QLW5QK15gL96gIA "
"Savvat#21946","DRUID","  AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA "
"Savvat#21946","ROGUE","  AAECAaIHBMgDrwT96gKe+AINjALLA9QF8wX1Bd0IgcICn8IC68IC0eECi+UCpu8C4vgCAA== "
"Savvat#21946","WARLOCK","  AAECAf0GBPcEnOIC7/ECj4IDDTCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA= "
"NoName#13139","ROGUE","  AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA= "
