Player,Deck1,Deck2,Deck3,Deck4
"CmaccompH","Token Druid","Tempo Mage","Miracle Rogue","Cube Warlock"
"comeback","Odd Paladin","Control Priest","Odd Rogue","Odd Warrior"
"Conrad","Malygos Druid","Spell Hunter","Miracle Rogue","Even Warlock"
"CoreExit","Taunt Druid","Spell Hunter","Tempo Mage","Quest Warrior"
"Cortana","Quest Druid","Tempo Mage","Odd Paladin","Revive Priest"
"cowboys367","Token Druid","Spell Hunter","Odd Paladin","Cube Warlock"
"Crane333#2314","Token Druid","Spell Hunter","Miracle Rogue","Cube Warlock"
"Crest Memepaste","Odd Paladin","Shudderwock Shaman","Even Warlock","Quest Warrior"
"croinosis","Taunt Druid","Malygos Rogue","Shudderwock Shaman","Quest Warrior"
"Cydonia","Token Druid","Spell Hunter","Miracle Rogue","Even Warlock"
"Danke","Token Druid","Spell Hunter","Tempo Mage","Cube Warlock"
"Deathsie","Token Druid","Tempo Mage","Shudderwock Shaman","Cube Warlock"
"Deebo","Token Druid","Odd Paladin","Quest Priest","Even Shaman"
"DerpyTroller","Tempo Mage","Odd Rogue","Cube Warlock","Quest Warrior"
"Dimentional","Spell Hunter","Control Priest","Even Shaman","Control Warrior"
"DiRTy","Shudderwock","Taunt Druid","Spell Hunter","Control Warrior"
"Dizdemon#2464","Token Druid","Shudderwock Shaman","Cube Warlock","Control Warrior"
"docoa","Spiteful Druid","Tempo Mage","Odd Paladin","Odd Rogue"
"DoubleDos #1434","Spell Hunter","Even Shaman","Even Warlock","Quest Warrior"
"Doubtless","Taunt Druid","Spell Hunter","Cube Warlock","Quest Warrior"
"DrJikininki","Taunt Druid","Miracle Rogue","Shudderwock Shaman","Cube Warlock"
"DUBS","Tempo Mage","Odd Paladin","Odd Rogue","Zoo Warlock"
"Elyk","Spell Hunter","Control Priest","Shudderwock Shaman","Quest Warrior"
"Enji Todoroki","Mill Druid","Quest Paladin","Quest Priest","Quest Rogue"
"Envoy","Spell Hunter","Tempo Mage","Shudderwock Shaman","Cube Warlock"
"EROSENTINEL","Spell Hunter","Control Priest","Shudderwock Shaman","Control Warlock"
"Eselore","Token Druid","Odd Paladin","Shudderwock Shaman","Cube Warlock"
"EvanEvanEvan","Token Druid","Big Spell Mage","Odd Paladin","Odd Rogue"
"FamousOsprey","Token Druid","Tempo Mage","Odd Rogue","Quest Warrior"
"Fenom","Tempo Mage","Odd Rogue","Cube Warlock","Quest Warrior"
"Fenomeno","Token Druid","Miracle Rogue","Cube Warlock","Quest Warrior"
"Fire#12197","Taunt Druid","Spell Hunter","Tempo Mage","Cube Warlock"
"firemadness#1586","Token Druid","Big Spell Mage","Cube Warlock","Quest Warrior"
"Firemancer","Token Druid","Spell Hunter","Big Spell Mage","Shudderwock Shaman"
"Floofys","Murloc Paladin","Spiteful Priest","Even Warlock","Quest Warrior"
"Fluffy","Token Druid","Miracle Rogue","Cube Warlock","Quest Warrior"
"Fornari","Taunt Druid","Big Spell Mage","Cube Warlock","Odd Warrior"
"Franswazy","Taunt Druid","Big Spell Mage","Quest Priest","Odd Rogue"
"Freohr","Token Druid","Spell Hunter","Cube Warlock","Quest Warrior"
"Fresh","Spiteful Druid","Big Spell Mage","Odd Rogue","Shudderwock Shaman"
"Frodan","Token Druid","Miracle Rogue","Even Warlock","Quest Warrior"
"Gallon","Token Druid","Spell Hunter","Shudderwock Shaman","Cube Warlock"
"GamerPanda","Recruit Hunter","Elemental Mage","Quest Priest","Tempo Rogue"
"Glaser#2196","Token Druid","Miracle Rogue","Cube Warlock","Quest Warrior"
"Guiyze#1681","Token Druid","Spell Hunter","Cube Warlock","Recruit Warrior"
"Haole2U2","Spiteful Druid","Spell Hunter","Miracle Rogue","Even Shaman"
"happy","Spiteful Druid","Big Spell Mage","Even Shaman","Cube Warlock"
"harlock","Odd Paladin","Miracle Rogue","Control Warlock","Odd Warrior"
"HeatShock","Taunt Druid","Big Spell Mage","Cube Warlock","Recruit Warrior"
"Hero","Token Druid","Spell Hunter","Cube Warlock","Quest Warrior"
"Hotform#11346","Midrange Hunter","Secret Paladin","Tempo Rogue","Quest Warrior"
"HotMEOWTH","Token Druid","Spell Hunter","Cube Warlock","Quest Warrior"
"Houdinii","Token Druid","Odd Paladin","Miracle Rogue","Even Warlock"
"icer","Token Druid","Spell Hunter","Cube Warlock","Quest Warrior"
"Ike#1171","Token Druid","Odd Paladin","Cube Warlock","Recruit Warrior"
"IMakeUSadFace","Odd Paladin","Even Shaman","Even Warlock","Odd Quest Warrior"
"impact#1923","Token Druid","Spell Hunter","Miracle Rogue","Cube Warlock"
"Innovation","Taunt Druid","Miracle Rogue","Cube Warlock","Recruit Warrior"
"Insom","Token Druid","Odd Paladin","Cube Warlock","Quest Warrior"
"ironFIRE","Taunt Druid","Quest Priest","Cube Warlock","Recruit Warrior"
"jakaso27#1154","Token Druid","Odd Rogue","Even Warlock","Quest Warrior"
"Jake","Token Druid","Recruit Hunter","Odd Rogue","Even Warlock"
"Jasm","Control Priest","Shudderwock Shaman","Cube Warlock","Quest Warrior"
"Justsaiyan","Malygos Druid","Miracle Rogue","Even Warlock","Quest Warrior"
"Jusyo","Spell Hunter","Big Spell Mage","Cube Warlock","Recruit Warrior"
"kap9","Token Druid","Spell Hunter","Miracle Rogue","Even Warlock"
"Kazghar","Token Druid","Big Spell Mage","Even Warlock","Quest Warrior"
"keyo","Spell Hunter","Tempo Mage","Shudderwock Shaman","Quest Warrior"
"Kilbuddy","Spell Hunter","Tempo Mage","Odd Rogue","Even Shaman"
"Killawill707#1768","Token Druid","Spell Hunter","Shudderwock Shaman","Odd Quest Warrior"
"killinallday#1537","Token Druid","Spell Hunter","Quest Rogue","Shudderwock Shaman"
"Kitkatz#1390","Odd Paladin","Odd Rogue","Shudderwock Shaman","Cube Warlock"
"korextron#1532","Big Spell Mage","Control Priest","Even Warlock","Quest Warrior"
"L00e","Spell Hunter","Big Spell Mage","Miracle Rogue","Cube Warlock"
"Lawfuldog","Spell Hunter","Odd Rogue","Shudderwock Shaman","Cube Warlock"
"laxlie","Token Druid","Spell Hunter","Even Warlock","Quest Warrior"
"Leadpaint","Spiteful Druid","Spell Hunter","Big Spell Mage","Miracle Rogue"
"Levi","Token Druid","Shudderwock Shaman","Cube Warlock","Fatigue Warrior"
"Lifexshort","Token Druid","Odd Rogue","Even Shaman","Odd Quest Warrior"
"lnguagehackr#1412","Token Druid","Miracle Rogue","Shudderwock Shaman","Cube Warlock"
"LosDominator","Token Druid","Tempo Mage","Odd Paladin","Even Warlock"
"Lostlegendx#1192","Taunt Druid","Spell Hunter","Miracle Rogue","Fatigue Warrior"
"Luker#11812","Spell Hunter","Shudderwock Shaman","Cube Warlock","Recruit Warrior"
"Lymited","Token Druid","Spell Hunter","Shudderwock Shaman","Zoo Warlock"
"mackenseize#1346","Quest Druid","Spell Hunter","Cube Warlock","Quest Warrior"
"Mago","Taunt Druid","Big Spell Mage","Murloc Paladin","Odd Rogue"
"MannyShow93","Token Druid","Spell Hunter","Odd Paladin","Cube Warlock"
"Mansion","Token Druid","Control Priest","Even Shaman","Even Warlock"
"maplemeow","Spiteful Druid","Tempo Mage","Odd Paladin","Odd Rogue"
"Mariodela#2657","Taunt Druid","Spell Hunter","Odd Rogue","Cube Warlock"
"masongos#1906","Token Druid","Big Spell Mage","Even Warlock","Quest Warrior"
"Matroid","Spiteful Druid","Even Shaman","Control Warlock","Quest Warrior"
"McBee","Taunt Druid","Miracle Rogue","Cube Warlock","Recruit Warrior"
"meekopi","Taunt Druid","Spell Hunter","Control Priest","Shudderwock Shaman"
"Meswannjr","Midrange Hunter","Tempo Mage","Murloc Paladin","Elemental Priest"
"Monsanto","Token Druid","Control Priest","Miracle Rogue","Even Warlock"
"Moosey#1449","Spell Hunter","Shudderwock Shaman","Cube Warlock","Recruit Warrior"
"MrJones","Control Priest","Shudderwock Shaman","Cube Warlock","Quest Warrior"
"MrJPickles","Malygos Druid","Quest Priest","Even Warlock","Odd Quest Warrior"
"Mrmajiin","Token Druid","Spell Hunter","Even Warlock","Quest Warrior"
"Mugibaby","Token Druid","Spell Hunter","Cube Warlock","Quest Warrior"
"Muzzy","Spiteful Druid","Spell Hunter","Big Spell Mage","Miracle Rogue"
"Mystic","Spell Hunter","Big Spell Mage","Even Rogue","Recruit Warrior"
"Nated4444","Token Druid","Big Spell Mage","Odd Paladin","Quest Warrior"
"Nicholena","Taunt Druid","Spell Hunter","Murloc Paladin","Cube Warlock"
"noblord","Token Druid","Spell Hunter","Shudderwock Shaman","Cube Warlock"
"Nostam","Token Druid","Even Shaman","Even Warlock","Quest Warrior"
"OHTEE#1720","Spell Hunter","Big Spell Mage","Odd Rogue","Even Warlock"
"OnlyOneJob","Token Druid","Spell Hunter","Quest Rogue","Shudderwock Shaman"
"Ouate","Token Druid","Recruit Hunter","Cube Warlock","Quest Warrior"
"Outcry","Token Druid","Recruit Hunter","Cube Warlock","Quest Warrior"
"Pandamanfan","Odd Paladin","Tempo Rogue","Elemental Shaman","Cube Warlock"
"Pantomime","Big Spell Mage","Murloc Paladin","Cube Warlock","Recruit Warrior"
"Party4lyfe","Token Druid","Spell Hunter","Odd Paladin","Even Shaman"
"Philtor","Taunt Druid","Big Spell Mage","Even Warlock","Recruit Warrior"
"Phoebus","Taunt Druid","Spell Hunter","Big Spell Mage","Even Shaman"
"pikapwner#1850","Taunt Druid","Big Spell Mage","Even Warlock","Quest Warrior"
"pnc","Token Druid","Tempo Mage","Odd Rogue","Shudderwock Shaman"
"Pokerox","Token Druid","Even Shaman","Even Warlock","Quest Warrior"
"PrettyGood","Spiteful Druid","Spell Hunter","Tempo Mage","Cube Warlock"
"Primitive","Spiteful Druid","Spell Hunter","Odd Rogue","Cube Warlock"
"Professor_R","Token Druid","Big Spell Mage","Control Warlock","Quest Warrior"
"Promech","Spiteful Druid","Dragon Hunter","Tempo Mage","Murloc Paladin"
"purple#1567","Token Druid","Combo Priest","Miracle Rogue","Cube Warlock"
"Quint11439","Taunt Druid","Recruit Hunter","Shudderwock Shaman","Control Warlock"
"Qwerty97","Tempo Mage","Odd Rogue","Cube Warlock","Quest Warrior"
"Rage","Taunt Druid","Miracle Rogue","Shudderwock Shaman","Cube Warlock"
"RampageKC","Spell Hunter","Tempo Mage","Control Priest","Recruit Warrior"
"Reaper06","Spiteful Druid","Tempo Mage","Miracle Rogue","Even Warlock"
"richwebz","Token Druid","Spell Hunter","Miracle Rogue","Shudderwock Shaman"
"rosty#1208","Token Druid","Miracle Rogue","Shudderwock Shaman","Even Warlock"
"Royale","Taunt Druid","Elemental Mage","Control Priest","Miracle Rogue"
"Runhesaid","Token Druid","Odd Rogue","Even Shaman","Cube Warlock"
"Ryder","Token Druid","Odd Rogue","Even Warlock","Quest Warrior"
"Ryuksapple","Spiteful Druid","Spell Hunter","Big Spell Mage","Quest Warrior"
"SamWynn","Tempo Mage","Control Priest","Odd Rogue","Control Warlock"
"Seiko#2721","Token Druid","Tempo Mage","Shudderwock Shaman","Cube Warlock"
"seohyun628#1679","Taunt Druid","Miracle Rogue","Shudderwock Shaman","Cube Warlock"
"Sheazus","Taunt Druid","Spell Hunter","Shudderwock Shaman","Even Warlock"
"Shigg","Spiteful Druid","Big Spell Mage","Quest Priest","Control Warlock"
"shoop","Token Druid","Recruit Hunter","Cube Warlock","Quest Warrior"
"Sintherius","Token Druid","Big Spell Mage","Even Warlock","Quest Warrior"
"Sirslim","Taunt Druid","Murloc Paladin","Shudderwock Shaman","Cube Warlock"
"slaviticus","Token Druid","Control Priest","Shudderwock Shaman","Recruit Warrior"
"Slysssa","Taunt Druid","Spell Hunter","Big Spell Mage","Odd Rogue"
"Sneakyche#1872","Token Druid","Big Spell Mage","Even Warlock","Quest Warrior"
"SnipedAgain#1736","Token Druid","Spell Hunter","Tempo Mage","Control Warlock"
"Snow#15541","Token Druid","Big Spell Mage","Even Warlock","Quest Warrior"
"Snowy","Malygos Druid","Spell Hunter","Control Priest","Miracle Rogue"
"Specialist#11921","Token Druid","Odd Paladin","Even Shaman","Quest Warrior"
"Stauros","Spell Hunter","Big Spell Mage","Even Warlock","Quest Warrior"
"StrifeCro","Token Druid","Spell Hunter","Miracle Rogue","Even Warlock"
"SwaggyG","Token Druid","Miracle Rogue","Shudderwock Shaman","Cube Warlock"
"TAOxEagle","Token Druid","Miracle Rogue","Even Warlock","Recruit Warrior"
"Tarei","Taunt Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock"
"Tbanhbao","Spell Hunter","Even Shaman","Even Warlock","Odd Quest Warrior"
"TeamAmerica","Token Druid","Shudderwock Shaman","Cube Warlock","Quest Warrior"
"TerrenceM","Token Druid","Spell Hunter","Miracle Rogue","Cube Warlock"
"Th3RaT","Spiteful Druid","Spell Hunter","Big Spell Mage","Miracle Rogue"
"TheChosenGuy","Spell Hunter","Tempo Mage","Miracle Rogue","Even Shaman"
"TheChronic","Token Druid","Even Shaman","Even Warlock","Odd Warrior"
"TheJordude","Taunt Druid","Spell Hunter","Miracle Rogue","Cube Warlock"
"Tom Selleck","Tempo Mage","Odd Paladin","Odd Rogue","Zoo Warlock"
"tyler#2449","Token Druid","Spell Hunter","Miracle Rogue","Cube Warlock"
"Ultimate","Spiteful Druid","Spell Hunter","Odd Paladin","Quest Rogue"
"Vandoom#1987","Token Druid","Tempo Mage","Odd Rogue","Zoo Warlock"
"Vespasian#11965","Token Druid","Miracle Rogue","Shudderwock Shaman","Cube Warlock"
"Villain#1999","Devilsaur Druid","Spell Hunter","Odd Paladin","Miracle Rogue"
"Wesdiaz","Spiteful Druid","Spell Hunter","Tempo Mage","Control Priest"
"Wheva","Taunt Druid","Miracle Rogue","Shudderwock Shaman","Cube Warlock"
"Willscarlet","Spell Hunter","Tempo Mage","Shudderwock Shaman","Even Warlock"
"Wombutt#1499","Spell Hunter","Miracle Rogue","Shudderwock Shaman","Cube Warlock"
"X115","Token Druid","Big Spell Mage","Control Priest","Even Warlock"
"Xifos","Token Druid","Even Shaman","Cube Warlock","Recruit Warrior"
"xPowerful1x","Odd Paladin","Odd Rogue","Even Warlock","Quest Warrior"
"Yakaam0302","Token Druid","Spell Hunter","Big Spell Mage","Control Priest"
"YAYmaster","Token Druid","Spell Hunter","Odd Paladin","Odd Rogue"
"yoitsflo","Spiteful Druid","Spell Hunter","Big Spell Mage","Miracle Rogue"
"Yolkions","Recruit Hunter","Odd Paladin","Cube Warlock","Recruit Warrior"
"Zalae","Token Druid","Combo Priest","Miracle Rogue","Cube Warlock"
"Zapgaze","Taunt Druid","Miracle Rogue","Cube Warlock","Quest Warrior"
"Zaros","Token Druid","Quest Priest","Miracle Rogue","Even Shaman"


Deck1,Deck2,Deck3,Deck4,Percent of Field,,Players
"Token Druid","Big Spell Mage","Even Warlock","Quest Warrior",3.3,,Alliestrasza,Atlas,Kazghar,masongos#1906,Sintherius,Sneakyche#1872,Snow#15541
"Token Druid","Spell Hunter","Cube Warlock","Quest Warrior",3.3,,Casual#1852,Catdestroyer,Freohr,Hero,HotMEOWTH,icer,Mugibaby
"Token Druid","Miracle Rogue","Shudderwock Shaman","Cube Warlock",1.9,,BajaPigeon,lnguagehackr#1412,SwaggyG,Vespasian#11965
"Token Druid","Recruit Hunter","Cube Warlock","Quest Warrior",1.9,,Bloody,Ouate,Outcry,shoop
"Token Druid","Miracle Rogue","Cube Warlock","Quest Warrior",1.9,,BoarControl#2986,Fenomeno,Fluffy,Glaser#2196
"Token Druid","Spell Hunter","Miracle Rogue","Cube Warlock",1.9,,Crane333#2314,impact#1923,TerrenceM,tyler#2449
"Taunt Druid","Miracle Rogue","Shudderwock Shaman","Cube Warlock",1.9,,DrJikininki,Rage,seohyun628#1679,Wheva
"Spiteful Druid","Spell Hunter","Big Spell Mage","Miracle Rogue",1.9,,Leadpaint,Muzzy,Th3RaT,yoitsflo
"Token Druid","Spell Hunter","Miracle Rogue","Even Warlock",1.4,,Cydonia,kap9,StrifeCro
"Tempo Mage","Odd Rogue","Cube Warlock","Quest Warrior",1.4,,DerpyTroller,Fenom,Qwerty97
"Token Druid","Spell Hunter","Miracle Rogue","Shudderwock Shaman",0.9,,Ant#1974,richwebz
"Token Druid","Spell Hunter","Odd Paladin","Odd Rogue",0.9,,Bubblelift,YAYmaster
"Token Druid","Tempo Mage","Miracle Rogue","Cube Warlock",0.9,,cary#11906,CmaccompH
"Token Druid","Spell Hunter","Tempo Mage","Cube Warlock",0.9,,ChoBo,Danke
"Token Druid","Spell Hunter","Odd Paladin","Cube Warlock",0.9,,cowboys367,MannyShow93
"Token Druid","Tempo Mage","Shudderwock Shaman","Cube Warlock",0.9,,Deathsie,Seiko#2721
"Spiteful Druid","Tempo Mage","Odd Paladin","Odd Rogue",0.9,,docoa,maplemeow
"Tempo Mage","Odd Paladin","Odd Rogue","Zoo Warlock",0.9,,DUBS,Tom Selleck
"Token Druid","Spell Hunter","Shudderwock Shaman","Cube Warlock",0.9,,Gallon,noblord
"Taunt Druid","Miracle Rogue","Cube Warlock","Recruit Warrior",0.9,,Innovation,McBee
"Token Druid","Odd Rogue","Even Warlock","Quest Warrior",0.9,,jakaso27#1154,Ryder
"Control Priest","Shudderwock Shaman","Cube Warlock","Quest Warrior",0.9,,Jasm,MrJones
"Token Druid","Spell Hunter","Quest Rogue","Shudderwock Shaman",0.9,,killinallday#1537,OnlyOneJob
"Token Druid","Spell Hunter","Even Warlock","Quest Warrior",0.9,,laxlie,Mrmajiin
"Spell Hunter","Shudderwock Shaman","Cube Warlock","Recruit Warrior",0.9,,Luker#11812,Moosey#1449
"Token Druid","Even Shaman","Even Warlock","Quest Warrior",0.9,,Nostam,Pokerox
"Token Druid","Combo Priest","Miracle Rogue","Cube Warlock",0.9,,purple#1567,Zalae
"Spell Hunter","Big Spell Mage","Murloc Paladin","Quest Priest",0.5,,Acseacse
"Murloc Paladin","Odd Rogue","Elemental Shaman","Odd Quest Warrior",0.5,,Adarics
"Malygos Druid","Shudderwock Shaman","Cube Warlock","Recruit Warrior",0.5,,Agenbyte#1599
"Spell Hunter","Tempo Mage","Miracle Rogue","Cube Warlock",0.5,,Apxvoid
"Taunt Druid","Spell Hunter","Shudderwock Shaman","Cube Warlock",0.5,,Aviera
"Recruit Hunter","Big Spell Mage","Control Priest","Recruit Warrior",0.5,,Awful
"Spell Hunter","Big Spell Mage","Miracle Rogue","Even Warlock",0.5,,Bearpilot
"Token Druid","Odd Rogue","Even Shaman","Even Warlock",0.5,,binhmighty
"Spiteful Druid","Odd Paladin","Odd Rogue","Cube Warlock",0.5,,BlinkFoxBOOM#1279
"Quest Priest","Even Shaman","Even Warlock","Control Warrior",0.5,,BloodHunter#1290
"Token Druid","Odd Paladin","Miracle Rogue","Cube Warlock",0.5,,Botticus
"Token Druid","Spell Hunter","Control Priest","Even Warlock",0.5,,Breezy
"Spell Hunter","Tempo Mage","Murloc Paladin","Recruit Warrior",0.5,,Brodiaz
"Token Druid","Spell Hunter","Even Shaman","Quest Warrior",0.5,,Broshy
"Big Spell Mage","Odd Paladin","Odd Rogue","Even Warlock",0.5,,Bubzee
"Taunt Druid","Tempo Mage","Control Priest","Control Warlock",0.5,,cadvan
"Token Druid","Quest Priest","Even Warlock","Quest Warrior",0.5,,CapnCrunch#1396
"Spell Hunter","Control Priest","Shudderwock Shaman","Recruit Warrior",0.5,,Caravaggio
"Token Druid","Murloc Paladin","Control Priest","Shudderwock Shaman",0.5,,chloe#12225
"Spiteful Druid","Spell Hunter","Cube Warlock","Control Warrior",0.5,,Circumstance
"Token Druid","Spell Hunter","Shudderwock Shaman","Recruit Warrior",0.5,,Clark
"Odd Paladin","Control Priest","Odd Rogue","Odd Warrior",0.5,,comeback
"Malygos Druid","Spell Hunter","Miracle Rogue","Even Warlock",0.5,,Conrad
"Taunt Druid","Spell Hunter","Tempo Mage","Quest Warrior",0.5,,CoreExit
"Quest Druid","Tempo Mage","Odd Paladin","Revive Priest",0.5,,Cortana
"Odd Paladin","Shudderwock Shaman","Even Warlock","Quest Warrior",0.5,,Crest Memepaste
"Taunt Druid","Malygos Rogue","Shudderwock Shaman","Quest Warrior",0.5,,croinosis
"Token Druid","Odd Paladin","Quest Priest","Even Shaman",0.5,,Deebo
"Spell Hunter","Control Priest","Even Shaman","Control Warrior",0.5,,Dimentional
"Shudderwock","Taunt Druid","Spell Hunter","Control Warrior",0.5,,DiRTy
"Token Druid","Shudderwock Shaman","Cube Warlock","Control Warrior",0.5,,Dizdemon#2464
"Spell Hunter","Even Shaman","Even Warlock","Quest Warrior",0.5,,DoubleDos #1434
"Taunt Druid","Spell Hunter","Cube Warlock","Quest Warrior",0.5,,Doubtless
"Spell Hunter","Control Priest","Shudderwock Shaman","Quest Warrior",0.5,,Elyk
"Mill Druid","Quest Paladin","Quest Priest","Quest Rogue",0.5,,Enji Todoroki
"Spell Hunter","Tempo Mage","Shudderwock Shaman","Cube Warlock",0.5,,Envoy
"Spell Hunter","Control Priest","Shudderwock Shaman","Control Warlock",0.5,,EROSENTINEL
"Token Druid","Odd Paladin","Shudderwock Shaman","Cube Warlock",0.5,,Eselore
"Token Druid","Big Spell Mage","Odd Paladin","Odd Rogue",0.5,,EvanEvanEvan
"Token Druid","Tempo Mage","Odd Rogue","Quest Warrior",0.5,,FamousOsprey
"Taunt Druid","Spell Hunter","Tempo Mage","Cube Warlock",0.5,,Fire#12197
"Token Druid","Big Spell Mage","Cube Warlock","Quest Warrior",0.5,,firemadness#1586
"Token Druid","Spell Hunter","Big Spell Mage","Shudderwock Shaman",0.5,,Firemancer
"Murloc Paladin","Spiteful Priest","Even Warlock","Quest Warrior",0.5,,Floofys
"Taunt Druid","Big Spell Mage","Cube Warlock","Odd Warrior",0.5,,Fornari
"Taunt Druid","Big Spell Mage","Quest Priest","Odd Rogue",0.5,,Franswazy
"Spiteful Druid","Big Spell Mage","Odd Rogue","Shudderwock Shaman",0.5,,Fresh
"Token Druid","Miracle Rogue","Even Warlock","Quest Warrior",0.5,,Frodan
"Recruit Hunter","Elemental Mage","Quest Priest","Tempo Rogue",0.5,,GamerPanda
"Token Druid","Spell Hunter","Cube Warlock","Recruit Warrior",0.5,,Guiyze#1681
"Spiteful Druid","Spell Hunter","Miracle Rogue","Even Shaman",0.5,,Haole2U2
"Spiteful Druid","Big Spell Mage","Even Shaman","Cube Warlock",0.5,,happy
"Odd Paladin","Miracle Rogue","Control Warlock","Odd Warrior",0.5,,harlock
"Taunt Druid","Big Spell Mage","Cube Warlock","Recruit Warrior",0.5,,HeatShock
"Midrange Hunter","Secret Paladin","Tempo Rogue","Quest Warrior",0.5,,Hotform#11346
"Token Druid","Odd Paladin","Miracle Rogue","Even Warlock",0.5,,Houdinii
"Token Druid","Odd Paladin","Cube Warlock","Recruit Warrior",0.5,,Ike#1171
"Odd Paladin","Even Shaman","Even Warlock","Odd Quest Warrior",0.5,,IMakeUSadFace
"Token Druid","Odd Paladin","Cube Warlock","Quest Warrior",0.5,,Insom
"Taunt Druid","Quest Priest","Cube Warlock","Recruit Warrior",0.5,,ironFIRE
"Token Druid","Recruit Hunter","Odd Rogue","Even Warlock",0.5,,Jake
"Malygos Druid","Miracle Rogue","Even Warlock","Quest Warrior",0.5,,Justsaiyan
"Spell Hunter","Big Spell Mage","Cube Warlock","Recruit Warrior",0.5,,Jusyo
"Spell Hunter","Tempo Mage","Shudderwock Shaman","Quest Warrior",0.5,,keyo
"Spell Hunter","Tempo Mage","Odd Rogue","Even Shaman",0.5,,Kilbuddy
"Token Druid","Spell Hunter","Shudderwock Shaman","Odd Quest Warrior",0.5,,Killawill707#1768
"Odd Paladin","Odd Rogue","Shudderwock Shaman","Cube Warlock",0.5,,Kitkatz#1390
"Big Spell Mage","Control Priest","Even Warlock","Quest Warrior",0.5,,korextron#1532
"Spell Hunter","Big Spell Mage","Miracle Rogue","Cube Warlock",0.5,,L00e
"Spell Hunter","Odd Rogue","Shudderwock Shaman","Cube Warlock",0.5,,Lawfuldog
"Token Druid","Shudderwock Shaman","Cube Warlock","Fatigue Warrior",0.5,,Levi
"Token Druid","Odd Rogue","Even Shaman","Odd Quest Warrior",0.5,,Lifexshort
"Token Druid","Tempo Mage","Odd Paladin","Even Warlock",0.5,,LosDominator
"Taunt Druid","Spell Hunter","Miracle Rogue","Fatigue Warrior",0.5,,Lostlegendx#1192
"Token Druid","Spell Hunter","Shudderwock Shaman","Zoo Warlock",0.5,,Lymited
"Quest Druid","Spell Hunter","Cube Warlock","Quest Warrior",0.5,,mackenseize#1346
"Taunt Druid","Big Spell Mage","Murloc Paladin","Odd Rogue",0.5,,Mago
"Token Druid","Control Priest","Even Shaman","Even Warlock",0.5,,Mansion
"Taunt Druid","Spell Hunter","Odd Rogue","Cube Warlock",0.5,,Mariodela#2657
"Spiteful Druid","Even Shaman","Control Warlock","Quest Warrior",0.5,,Matroid
"Taunt Druid","Spell Hunter","Control Priest","Shudderwock Shaman",0.5,,meekopi
"Midrange Hunter","Tempo Mage","Murloc Paladin","Elemental Priest",0.5,,Meswannjr
"Token Druid","Control Priest","Miracle Rogue","Even Warlock",0.5,,Monsanto
