Jordan#3354,47,61,87,148,0,0
Butterz#1127,38,73,73,146,0,29
Flidow#1362,35,83,62,145,0,0
Dan#31509,30,86,59,145,0,13
Oni#12710,32,70,74,144,0,0
FisherMan#21816,29,60,84,144,0,0
Jakattack#1815,21,101,43,144,0,68
SuperMurloc#17748,29,41,103,144,0,0
J4kubb#2392,32,82,62,144,1,9
JetLaw#1901,34,70,73,143,0,0
Lestos#21281,32,82,61,143,1,6
goodwill#21810,73,36,107,143,0,0
Atome#21243,34,81,62,143,0,18
SyoGo#1835,38,82,61,143,0,10
Vybon#2578,32,79,63,142,1,11
NaySyl#1496,40,73,69,142,1,0
Leomane#1502,40,81,60,141,0,40
Rane#11745,37,66,75,141,0,18
ShadowCER#1686,30,47,94,141,0,0
arcanine#3263,31,76,63,139,0,7
Pirgasimov#2181,30,44,95,139,0,0
Crafer#1569,34,80,59,139,0,0
NGAPingkachu#2328,41,72,67,139,0,0
Draz#2916,29,81,58,139,0,27
LeandroLeal#1841,53,66,73,139,0,27
Gaboumme#2406,26,92,47,139,0,70
minoru#1314,31,75,64,139,0,7
МаксудХан#2370,23,50,88,138,0,0
Mugibaby#1686,44,68,70,138,0,16
KaratéSwag22#21954,32,79,59,138,0,0
Philosophy#1707,32,64,74,138,0,0
Mesmile#1425,27,83,54,137,1,4
Greater#1537,44,56,81,137,0,0
Pipe1F#1360,51,63,74,137,0,0
punswaterboy#1479,38,75,62,137,0,0
조치#3550,36,70,66,136,0,14
Madsheep#11856,35,80,56,136,0,24
GhostVictor#3999,30,79,57,136,0,15
Capricorn#4880,35,57,79,136,0,6
Aska#2187,31,64,71,135,0,0
Perna#1691,33,79,56,135,0,73
Rami94#1340,44,65,69,134,0,36
wmiler#1302,24,69,65,134,0,0
西陵珩#3799,23,82,52,134,1,13
gunzerker#2560,26,84,50,134,0,21
Snatta#2721,26,61,73,134,0,5
DeltaZero#2731,39,59,75,134,0,0
rookieAC#1558,28,63,70,133,1,11
Mazzu#11824,48,57,76,133,0,6
Gripfighting#1561,33,72,61,133,0,0
Ekrow#1825,37,75,57,132,0,0
IllustBeast#1492,32,72,59,131,0,11
Bomsenhor#1595,49,56,75,131,0,0
KuNa#11540,34,60,70,130,0,4
Kalindo#2880,30,53,77,130,0,0
Platino#1900,26,53,77,130,0,0
yoitsflo#1202,26,86,44,130,0,74
Ghost#26107,30,55,74,129,0,53
Kasai#21627,25,80,49,129,0,0
DJZODIACLIVE#1382,48,46,83,129,0,0
Jesuisbob#2892,26,79,49,128,0,67
Electrify#2682,28,74,54,128,0,68
lowkey#11279,38,61,67,128,0,25
ilikeryan#3327,39,62,65,127,0,0
Oso7#1421,27,70,57,127,0,13
Posk519#1703,44,57,69,126,0,0
IMTEkko#1935,26,58,68,126,0,0
juan233#1239,28,74,52,126,0,4
Magoho#2602,34,66,60,126,0,0
Hokage#21693,31,79,47,126,1,14
Kasai#21486,30,55,71,126,0,0
daffy1#11284,26,44,82,126,0,0
銀風#4626,25,74,52,126,0,15
cosimo#2991,27,78,47,125,0,5
KGo#11444,36,54,71,125,0,7
Insom#1330,29,69,55,124,1,54
maxchen#3485,29,74,50,124,0,86
Patryn#2996,41,67,57,124,0,27
chakchyk#2392,25,65,59,124,0,0
Kniphfer#1792,44,54,70,124,0,0
CallMeMind#2648,20,56,68,124,0,0
JDart#2923,34,69,54,123,1,22
DrStrangePhD#1357,35,51,72,123,0,0
XTYLING#11398,33,58,65,123,0,4
Hi3#31902,30,69,54,123,1,104
BullBence#2640,41,60,63,123,0,0
vincelekiwi#1413,34,57,65,122,0,0
Correctness#2312,31,59,63,122,0,0
Guiyze#1681,31,66,56,122,0,72
Wolcat#2810,36,69,53,122,0,20
chpatro#2321,29,74,48,122,0,4
PapaJason#1186,25,76,45,121,1,71
burroohhh#1915,36,57,64,121,0,5
MadRyuk#2191,28,48,73,121,0,0
Kalas#2638,25,74,46,120,0,99
wiRer#2160,22,83,37,120,1,16
ECO#4701,45,57,63,120,0,0
Beister#2304,33,56,64,120,0,6
Zetalot#2985,25,72,47,119,0,25
yaoi420#1398,33,67,52,119,0,42
Gil#11487,29,72,47,119,1,0
Farced#1725,32,53,66,119,0,0
JoblessLeo#1861,34,61,58,119,0,6
Zehirmann#2834,24,60,59,119,0,0
BouncyKnight#253734,30,35,83,118,0,4
jason#41582,35,35,83,118,0,25
PonRoo#2677,24,70,48,118,0,0
dogmeat#22859,30,61,56,117,0,40
HamiO#11959,44,56,61,117,0,0
holzoma#2158,31,51,66,117,0,0
ChevChelios#21723,45,44,73,117,0,0
Emmanuil127#2550,26,56,61,117,0,0
GamerRvg#1410,19,75,41,116,1,28
kamaretai#1756,34,64,52,116,1,15
Lethal#21375,28,74,42,116,0,4
AdamtheTrue#2122,27,63,53,116,1,0
gle#1808,23,76,40,116,0,36
Sindo#21453,24,68,48,116,0,7
denker#1245,27,63,53,116,1,13
lilhearthie#1790,36,62,54,116,0,5
자유조퇴권#3795,27,71,45,116,0,0
zenith#3521,27,71,44,115,0,16
Tralen#1525,36,50,65,115,0,0
Tues#11613,42,53,61,114,0,0
Nextrisity#3524,48,33,81,114,0,0
Elfandor#2767,20,79,35,114,1,95
NightKnight#27783,18,57,57,114,0,4
KingofRingx3#2559,32,61,53,114,0,5
Seku#2887,34,59,54,113,0,0
NoGlocko#1603,31,56,57,113,1,0
MJM#1697,24,67,46,113,0,31
Donno#1985,22,58,55,113,0,20
BlasèBlasè#1557,35,55,58,113,0,0
masterTe0#2598,43,25,88,113,0,0
BURATO#2578,32,37,75,112,0,0
Rpbalance#1859,25,65,47,112,1,30
RaitO#1559,43,51,61,112,0,0
Chatthon#21982,27,69,43,112,0,17
Gaben#3784,27,51,61,112,0,0
javibryan11#2534,29,61,51,112,0,0
Moosey#1449,27,68,44,112,0,13
IrvinG#1619,28,69,43,112,1,57
Finest#2598,29,49,63,112,0,0
Ignite#1455,27,65,46,111,0,5
usikun#1876,26,56,55,111,0,0
ILBARONE#2219,29,62,49,111,0,58
AngeLiX#6895,28,63,48,111,0,21
Offerrall#2251,25,68,43,111,0,29
VickeBlanka#1576,40,57,54,111,0,0
Paulo#2895,30,61,49,110,0,14
Dalok#2804,19,71,39,110,0,4
SevenC#3549,23,62,48,110,1,15
NoRage#2568,20,69,41,110,0,51
Grantopolo#1212,27,44,66,110,0,0
令人鼻酸#3771,28,49,61,110,0,0
Fujitora#2372,17,76,34,110,1,16
Konpaku#11240,32,55,54,109,0,0
검은셔츠#3846,19,48,61,109,0,0
Ginger#2436,30,66,43,109,0,34
Crane333#2314,17,80,29,109,1,113
OneeChan#11455,27,54,55,109,1,0
무한진화형인간#3412,29,37,72,109,0,0
Konrad#21729,25,56,53,109,0,7
godnotes#2119,29,50,59,109,0,0
ZeroXxiv#1318,34,51,57,108,0,0
gcttirth#1560,30,53,55,108,0,12
alucard#14372,34,59,48,107,1,17
NafBen#2555,29,61,46,107,0,25
TheTeacher#21416,22,50,57,107,0,0
Switch#6148,24,64,43,107,0,47
min#12763,35,54,53,107,0,0
Gjrstad#2676,21,66,41,107,0,18
ScreaM#22785,30,46,61,107,0,40
Nefiu#1731,38,56,51,107,0,0
Davsk8eur#2604,24,54,52,106,0,0
KunGSan#2831,37,48,58,106,0,0
MoneYZ#21473,22,56,50,106,0,0
eko#22977,24,64,42,106,0,18
XiaoShan#4568,26,56,49,105,0,39
Pedros99#1750,29,43,62,105,0,0
