Pipe1F#1360,51,63,137,0.4599
AngeLiX#6895,28,63,111,0.5676
N0lan#11919,20,63,101,0.6238
ilikeryan#3327,39,62,127,0.4882
lilhearthie#1790,36,62,116,0.5345
ILBARONE#2219,29,62,111,0.5586
GoulePoète#2291,95,61,210,0.2905
Jordan#3354,47,61,148,0.4122
lowkey#11279,38,61,128,0.4766
JoblessLeo#1861,34,61,119,0.5126
KingofRingx3#2559,32,61,114,0.5351
dogmeat#22859,30,61,117,0.5214
Paulo#2895,30,61,110,0.5545
javibryan11#2534,29,61,112,0.5446
NafBen#2555,29,61,107,0.5701
Snatta#2721,26,61,134,0.4552
Threat#2497,23,61,105,0.5810
SwaggyG#1193,21,61,98,0.6224
SebastianJo#2642,18,61,93,0.6559
BullBence#2640,41,60,123,0.4878
KuNa#11540,34,60,130,0.4615
viresgator#2212,34,60,189,0.3175
FisherMan#21816,29,60,144,0.4167
Zehirmann#2834,24,60,119,0.5042
Griffons#2123,17,60,98,0.6122
XWhyZ#11826,17,60,96,0.6250
DeltaZero#2731,39,59,134,0.4403
Seku#2887,34,59,113,0.5221
Correctness#2312,31,59,122,0.4836
Neves#1975,30,59,102,0.5784
Arsh74#1346,28,59,104,0.5673
Ericeeeat#4541,25,59,102,0.5784
LooGiiQQ#2195,22,59,93,0.6344
s23ver#2365,18,59,105,0.5619
wth3ck#2739,18,59,98,0.6020
XTYLING#11398,33,58,123,0.4715
Lucasdmnasc#1573,30,58,103,0.5631
IMTEkko#1935,26,58,126,0.4603
Donno#1985,22,58,113,0.5133
Mazzu#11824,48,57,133,0.4286
ECO#4701,45,57,120,0.4750
Posk519#1703,44,57,126,0.4524
VickeBlanka#1576,40,57,111,0.5135
burroohhh#1915,36,57,121,0.4711
Capricorn#4880,35,57,136,0.4191
vincelekiwi#1413,34,57,122,0.4672
Uraharai#2735,24,57,98,0.5816
Agazapado#2498,20,57,92,0.6196
NightKnight#27783,18,57,114,0.5000
Bomsenhor#1595,49,56,131,0.4275
Greater#1537,44,56,137,0.4088
HamiO#11959,44,56,117,0.4786
Nefiu#1731,38,56,107,0.5234
Beister#2304,33,56,120,0.4667
Avery#11338,29,56,105,0.5333
usikun#1876,26,56,111,0.5045
Emmanuil127#2550,26,56,117,0.4786
XiaoShan#4568,26,56,105,0.5333
Izzy#1553,25,56,94,0.5957
Konrad#21729,25,56,109,0.5138
Dan#17581,24,56,103,0.5437
joster#1176,22,56,92,0.6087
MoneYZ#21473,22,56,106,0.5283
CallMeMind#2648,20,56,124,0.4516
Maximal#2494,18,56,87,0.6437
BlasèBlasè#1557,35,55,113,0.4867
Konpaku#11240,32,55,109,0.5046
Ghost#26107,30,55,129,0.4264
Kasai#21486,30,55,126,0.4365
fercho#11937,27,55,104,0.5288
GREAW253#2793,24,55,103,0.5340
레닌#31792,22,55,99,0.5556
聖水洋洋#4496,18,55,91,0.6044
Osiris97#1160,76,54,185,0.2919
Kniphfer#1792,44,54,124,0.4355
風再起時#4160,41,54,156,0.3462
KGo#11444,36,54,125,0.4320
min#12763,35,54,107,0.5047
edmvyrus#1754,31,54,104,0.5192
Davsk8eur#2604,24,54,106,0.5094
PabUruGaming#1255,23,54,103,0.5243
Pillo#1303,22,54,93,0.5806
XnkBlizzard#1174,20,54,89,0.6067
muffins#12234,19,54,84,0.6429
Martyr#2146,16,54,84,0.6429
Fredlalco#2990,50,53,177,0.2994
Tues#11613,42,53,114,0.4649
Farced#1725,32,53,119,0.4454
gcttirth#1560,30,53,108,0.4907
Kalindo#2880,30,53,130,0.4077
gouletateur2#1534,27,53,100,0.5300
Platino#1900,26,53,130,0.4077
HSKeDaiBiao#1597,25,53,90,0.5889
yokopomayoko#2825,25,53,100,0.5300
D3oxy#1621,19,53,100,0.5300
Yunzi#11819,14,53,91,0.5824
tidsskrift#2366,25,52,103,0.5049
Mazambik#21514,23,52,90,0.5778
Dabs#1528,21,52,88,0.5909
Spiral#1159,20,52,85,0.6118
RaitO#1559,43,51,112,0.4554
sarumans#21375,43,51,193,0.2642
DrStrangePhD#1357,35,51,123,0.4146
ZeroXxiv#1318,34,51,108,0.4722
holzoma#2158,31,51,117,0.4359
xBlaine#2906,27,51,88,0.5795
Gaben#3784,27,51,112,0.4554
Valerioperru#2460,23,51,98,0.5204
Surax#2541,23,51,103,0.4951
GoSuForEVeR#2720,21,51,93,0.5484
DuVlad#1722,20,51,96,0.5313
Nohurry#2368,19,51,93,0.5484
Tralen#1525,36,50,115,0.4348
heisnotaxel#1382,30,50,94,0.5319
godnotes#2119,29,50,109,0.4587
pHi11Colins#2149,25,50,99,0.5051
МаксудХан#2370,23,50,138,0.3623
Jarqoni#2474,23,50,94,0.5319
TheTeacher#21416,22,50,107,0.4673
Findan#2596,22,50,81,0.6173
JustMo#21494,17,50,84,0.5952
CrisL#1932,30,49,100,0.4900
Finest#2598,29,49,112,0.4375
令人鼻酸#3771,28,49,110,0.4455
TheBriefcase#1992,27,49,90,0.5444
xKumei#1830,21,49,86,0.5698
KunGSan#2831,37,48,106,0.4528
Mikka#6603,33,48,94,0.5106
MadRyuk#2191,28,48,121,0.3967
サバンナ#11146,26,48,105,0.4571
Sigge#21629,26,48,85,0.5647
洨美冰淇淋#4901,23,48,98,0.4898
美式重烘焙#3629,20,48,93,0.5161
doughnut#11386,20,48,94,0.5106
검은셔츠#3846,19,48,109,0.4404
Wild9#11864,12,48,81,0.5926
NainFéroce#13104,74,47,170,0.2765
Deldeck#2116,35,47,93,0.5054
Osnildo#1955,33,47,93,0.5054
ShadowCER#1686,30,47,141,0.3333
Emre#1812,28,47,99,0.4747
이스티#31432,26,47,85,0.5529
agz00#1477,26,47,93,0.5054
Topher702x#1808,26,47,99,0.4747
Dcon#11969,23,47,90,0.5222
Pemderix#2618,21,47,87,0.5402
Franpedre#2879,18,47,82,0.5732
ACE#13848,16,47,85,0.5529
DJZODIACLIVE#1382,48,46,129,0.3566
Pymbette#1203,33,46,103,0.4466
laasque#2314,32,46,96,0.4792
ScreaM#22785,30,46,107,0.4299
MokraniChile#1591,29,46,91,0.5055
Berilio#1780,24,46,103,0.4466
Sheep#3717,23,46,84,0.5476
ChrisPixGC#2847,18,46,102,0.4510
blater#31971,15,46,95,0.4842
Ramra#2646,13,46,83,0.5542
TowTruck#1868,53,45,177,0.2542
SDW#1848,21,45,97,0.4639
Eason#31882,21,45,82,0.5488
Rot#4482,20,45,84,0.5357
ChevChelios#21723,45,44,117,0.3761
CoravStenom#2513,31,44,96,0.4583
Chirichan#2225,31,44,101,0.4356
Pirgasimov#2181,30,44,139,0.3165
Grantopolo#1212,27,44,110,0.4000
Akogare#1963,27,44,89,0.4944
daffy1#11284,26,44,126,0.3492
StinkyTofu#11261,25,44,91,0.4835
Zbaydaa#2786,23,44,94,0.4681
Elek#21835,23,44,97,0.4536
Nakraroxs#2241,23,44,90,0.4889
Shane#1208,23,44,88,0.5000
Joaquin#1259,22,44,82,0.5366
BPM#31975,19,44,82,0.5366
cariboukoko4#2667,19,44,92,0.4783
Lockvine#1477,53,43,182,0.2363
MegaHertz#11957,30,43,97,0.4433
Pedros99#1750,29,43,105,0.4095
Morgus#1419,26,43,92,0.4674
albo21#1500,24,43,89,0.4831
zCharitoSz#2432,23,43,104,0.4135
Arestidios#2184,21,43,87,0.4943
chessmanxblt#2554,20,43,91,0.4725
MieMie#1671,34,42,92,0.4565
Gann#2957,34,42,95,0.4421
EllenPage#1392,33,42,100,0.4200
DarkChaos#21468,24,42,87,0.4828
PoisonDamage#21617,22,42,89,0.4719
Paul#25773,18,42,91,0.4615
Spreadnouz#2727,32,41,100,0.4100
Impyyyyy#2802,30,41,84,0.4881
SuperMurloc#17748,29,41,144,0.2847
ThePenguin#1180,27,41,83,0.4940
supersam710#1291,26,41,93,0.4409
Aslanino#2338,24,41,86,0.4767
RumHam#11316,21,41,81,0.5062
anggadaz#1993,74,40,204,0.1961
Orlles#1178,36,40,91,0.4396
Haanuman#1683,27,40,93,0.4301
Toryo#2157,19,40,81,0.4938
itchy#2276,18,40,103,0.3883
Catazorx#2807,15,40,84,0.4762
Rockchuvak#2827,23,39,88,0.4432
xB00M#2237,21,39,84,0.4643
StPlayer#21980,19,39,81,0.4815
Henry#11289,18,39,81,0.4815
Omgwtfman#1407,77,38,171,0.2222
Mansion#1614,25,38,85,0.4471
Joopiter#2242,20,38,82,0.4634
caioPtrick#1932,20,38,83,0.4578
BURATO#2578,32,37,112,0.3304
choingum#2779,31,37,92,0.4022
무한진화형인간#3412,29,37,109,0.3394
