Team,Week,Druid,Hunter,Mage,Paladin,Priest,Rogue,Shaman,Warlock,Warrior,Banned 1,Pick 1,Pick 1,Banned 2,Banned 2,Pick 2,Pick 2,Banned 3,Pick 3
Slovakia,Week 1,Malygos Druid,Recruit Hunter,Big Spell Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Malygos Druid,Shudderwock Shaman,Even Warlock,Recruit Hunter,Quest Warrior,Miracle Rogue,Big Spell Mage,Odd Paladin,Control Priest
South Korea,Week 1,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior,Shudderwock Shaman,Cube Warlock,Deathrattle Hunter,Odd Paladin,Miracle Rogue,Malygos Druid,Quest Warrior,Control Priest,Big Spell Mage
Spain,Week 1,Token Druid,Recruit Hunter,Big Spell Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Recruit Hunter,Shudderwock Shaman,Token Druid,Odd Rogue,Even Warlock,Control Priest,Odd Paladin,Quest Warrior,Big Spell Mage
Sweden,Week 1,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Malygos Druid,Even Warlock,Odd Paladin,Odd Rogue,Deathrattle Hunter,Shudderwock Shaman,Big Spell Mage,Quest Warrior,Control Priest
Switzerland,Week 1,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Malygos Druid,Quest Warrior,Even Warlock,Control Priest,Shudderwock Shaman,Deathrattle Hunter,Tempo Mage,Odd Paladin,Miracle Rogue
Taiwan,Week 1,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Even Warlock,Quest Warrior,Malygos Druid,Big Spell Mage,Control Priest,Shudderwock Shaman,Deathrattle Hunter,Odd Paladin,Miracle Rogue
Thailand,Week 1,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Malygos Druid,Shudderwock Shaman,Odd Rogue,Even Warlock,Odd Paladin,Tempo Mage,Deathrattle Hunter,Control Priest,Quest Warrior
Turkey,Week 1,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Quest Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Malygos Druid,Shudderwock Shaman,Deathrattle Hunter,Even Warlock,Miracle Rogue,Quest Warrior,Quest Priest,Big Spell Mage,Odd Paladin
Ukraine,Week 1,Malygos Druid,Spell Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Malygos Druid,Even Warlock,Odd Rogue,Tempo Mage,Spell Hunter,Odd Paladin,Quest Warrior,Control Priest,Shudderwock Shaman
United Kingdom,Week 1,Malygos Druid,Recruit Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior,Malygos Druid,Shudderwock Shaman,Quest Warrior,Cube Warlock,Recruit Hunter,Tempo Mage,Miracle Rogue,Control Priest,Odd Paladin
United States,Week 1,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Deathrattle Hunter,Shudderwock Shaman,Even Warlock,Quest Warrior,Malygos Druid,Tempo Mage,Miracle Rogue,Control Priest,Odd Paladin
Vietnam,Week 1,Taunt Druid,Recruit Hunter,Big Spell Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Recruit Hunter,Miracle Rogue,Even Warlock,Quest Warrior,Odd Paladin,Taunt Druid,Control Priest,Shudderwock Shaman,Big Spell Mage
