,Secret Mage,Murloc Paladin,Silver Hand Paladin,Cube Warlock,Control Warlock,Combo Priest,Spiteful Priest,Control Priest,Zoo Warlock,Spell Hunter,Miracle Rogue,Big Priest,Kingsbane Rogue,Jade Druid,Quest Mage,Big Spell Mage,Jade Shaman,Secret Hunter,Midrange Hunter,Token Shaman,Control Warrior,OTK DK Paladin,Spiteful Druid,Control Mage,Control Paladin,Quest Druid,Quest Rogue,Aggro Paladin,Aggro Druid,Freeze Mage,Elemental Shaman,C'Thun Druid
Spiteful Druid,62.62,41.29,27.31,50.73,45.21,58,50.16,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Control Mage,34.04,49.74,29.93,26.02,49.99,68.46,30.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Control Paladin,52.54,38.48,40.13,27.66,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Quest Druid,34.03,15.6,20.66,37.54,49.99,49.99,41.82,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Quest Rogue,16.05,19.11,14.16,54.7,49.99,53.33,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Aggro Paladin,55.45,41.24,36.61,52.77,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Aggro Druid,51.25,52.91,46.98,47.36,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Freeze Mage,26.62,49.99,33.8,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Elemental Shaman,34.21,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
C'Thun Druid,56.87,49.99,19.26,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
