2018 Asia-Pacific Summer Playoffs Deck lists,,
Copy deck code into the Hearthstone Client to view,,
Note: This list is provided a courtesy. Battlefy is considered the source of truth for deck lists for this tournament.,,
Battletag,Class,Deck code
Mogumi#1641,druid,AAECAZICBrQFyssCws4CmdMCnOIC0OcCDN4F8gWXwQKfwgLrwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA
Mogumi#1641,paladin,AAECAYsWBNkHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GigevB7EIlgmbywL40gIA
신명수#3924,warlock,AAECAf0GCqMBogKKB8QIl9MC2OUC6uYC2OcCt/ECnPgCCooB2wa2B5vCAufLAvLQAvjQAojSAvzlAujnAgA=
신명수#3924,druid,AAECAZICCq8EtAWfwgLTxQLKywLCzgKZ0wKc4gLQ5wKL7gIK3gXyBZfBAuvCApvLAofOApHQAtHhAvnmAtfrAgA=
신명수#3924,warrior,AAECAQcM0AKTBKoGkAf5DNHDAtPFAqLHAs/HApruAs3vAp74AglLogKiBPwE/webwgLK5wK67AKd8AIA
신명수#3924,priest,AAECAZ/HAgiQAsUEkAfVCtYK+wygzgKQ0wILoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=
aqua#1699,warrior,AAECAQcK0AKTBJAH+QzRwwLTxQKixwLPxwLN7wKe+AIKS6ICkQOiBPwE/webwgLK5wK67AKd8AIA
aqua#1699,druid,AAECAZICBrQFyssCws4CmdMCnOIC0OcCDN4F8gWXwQLrwgLKwwKbywKHzgKR0ALR4QKL5QL55gLX6wIA
aqua#1699,warlock,AAECAf0GCKIC2waKB8QIl9MC2OcCt/ECnPgCC4oBtgebwgLnywLy0AL40AKI0gLY5QL85QLq5gLo5wIA
aqua#1699,paladin,AAECAZ8FBIoHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
Garchomp#1185,paladin,AAECAYsWBNkHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GigevB7EIlgmbywL40gIA
Garchomp#1185,druid,AAECAZICCrQF3gWfwgLrwgLTxQLKywLCzgKZ0wKc4gLQ5wIK8gWXwQLKwwKbywKHzgKR0ALR4QL55gLX6wKL7gIA
Garchomp#1185,warlock,AAECAf0GCJMEigfJwgLKwwKX0wLb6QK38QKc+AILigH3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
Garchomp#1185,mage,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==
horo#1775,druid,AAECAZICBq8Ews4CmdMCnOICi+UC0OcCDLQF3gXyBZfBAuvCApvLAofOApHQAtHhAvnmAtfrAuXvAgA=
horo#1775,warlock,AAECAf0GBsQIycICl9MCneIC2+kCnPgCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
horo#1775,paladin,AAECAaIHBM0DhsICz+ECw+oCDcQBnALtAp8DiAWbBdQFhgmXwQL8wQLH0wLb4wL27AIA
horo#1775,rogue,AAECAZ8FBpkC7QW5wQLCzgK36QLN9AIM+wHcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
Kribo#3588,paladin,AAECAYwWDNACkQOTBN4FkAf5DNPFAqLHAs/HApruAs3vAp74AglLogKiBPwE/webwgLK5wK67AKd8AIA
Kribo#3588,warrior,AAECAf0GCKIC2waKB8QIl9MC2OcCt/ECnPgCC4oBtgebwgLnywLy0AL40AKI0gLY5QL85QLq5gLo5wIA
Kribo#3588,warlock,AAECAZ8FBPIFucECt+kCzfQCDfsBmQLcA/QFlgbPBq8H2QexCJYJm8sC+NIC9uwCAA==
Kribo#3588,priest,AAECAZ/HAgjFBNMK1grKwwLTxQKgzgKQ0wKJ8QILoQTlBPYHjQjyDPsM0cECyccC6NACy+YCvfMCAA==
MegaGliscor#1122,druid,AAECAbSKAwqvBJ/CAsrDAtPFAsLOApnTApziAtDnAsvsAovuAgreBfIFl8EC68ICm8sCyssCh84CkdAC+eYC1+sCAA==
MegaGliscor#1122,priest,AAECAa0GCMUEkAfTCtUK+wzKwwKgzgKQ0wILoQTlBPYHjQjyDNHBAsnHAujQAsvmAu/xAr3zAgA=
MegaGliscor#1122,warlock,AAECAf0GCIoBogLbBooHl9MC2OcCt/ECnPgCC6MBtgfECJvCAufLAvLQAvjQAojSAvzlAurmAujnAgA=
MegaGliscor#1122,warrior,AAECAYwWDNACkQOqBpAH+QzRwwLTxQKixwLPxwKa7gLN7wKe+AIJS6ICogT8BP8Hm8ICyucCuuwCnfACAA==
trahison#11389,mage,AAECAf0EAr8IotMCDnG7ApUDtATmBJYF7AXBwQKYxALUzgKP0wL77ALl7wLv8QIA
trahison#11389,druid,AAECAaIHAq8EnvgCDowCogLLA9QF9QXdCIHCAuvCAtHhAovlAsnsAqbvAuXvAt6CAwA=
trahison#11389,rogue,AAECAZICBq8E3gXTxQKZ0wKc4gLQ5wIMtAXyBZfBAuvCApvLAofOApHQAtHhAovlAvnmAtfrAuXvAgA=
trahison#11389,paladin,AAECAZ8FBpkC7QW5wQLCzgK36QLN9AIM+wHcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
NAGON#1609,rogue,AAECAaIHAq8EnvgCDowCywPUBfUF3QiBwgLrwgLKywLR4QKL5QLJ7AKm7wLl7wLH+AIA
NAGON#1609,shaman,AAECAaoICCC9AZkCxssCws4CsPAC9vACzfQCC9MBlgbZB/AHsQiRwQKbywLl0wKW6AL27AKU7wIA
NAGON#1609,paladin,AAECAaToAgaZAu0FucECws4Ct+kCzfQCDPsB3AP0BZYGzwavB9kHsQiWCZvLAvjSAurmAgA=
NAGON#1609,druid,AAECAbSKAwavBJ/CAsLOApnTApziAtDnAgy0Bd4F8gWXwQLrwgKbywKHzgKR0ALR4QKL5QL55gLX6wIA
js5#3234,warlock,AAECAf0GCqIC2wbECMnCAtPFApfTAovhAtjnArfxApz4AgqKAbYHm8IC58sC8tAC+NACiNIC/OUC6uYC6OcCAA==
js5#3234,paladin,AAECAYsWBvsBmQK5wQLCzgK36QLN9AIM3APyBfQFlgbPBooHrwexCJYJm8sC+NIC6uYCAA==
js5#3234,priest,AAECAa0GBsUEkAfWCvsMoM4CkNMCDKEE5QT2B40I1QryDNHBAsnHAujQAsvmAvzqAr3zAgA=
js5#3234,druid,AAECAZICCN4FysMC08UCyssCws4CmdMCnOIC0OcCC7QF8gWXwQKfwgLrwgKbywKHzgKR0ALR4QL55gLX6wIA
livevil#3366,rogue,AAECAaIHBIbCAsbHAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAuvCAsfTAtvjAvbsAgA=
livevil#3366,paladin,AAECAZ8FBIoHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
livevil#3366,warlock,AAECAf0GCJMEycICl9MCneIC6uYC2OcC2+kCnPgCC4oB9wS2B+EH58sC8tAC+NACiNICi+EC/OUC6OcCAA==
livevil#3366,druid,AAECAZICCK8EtAXeBcrLAsLOApnTApziAtDnAgvyBZfBAp/CAuvCApvLAofOApHQAtHhAvnmAtfrAovuAgA=
MATSURI#1423,druid,AAECAbSKAwafwgLCzgKZ0wKc4gKL5QLQ5wIM3gXyBZfBAuvCApvLAsrLAofOApHQAtHhAvnmAtfrAovuAgA=
MATSURI#1423,paladin,AAECAZ8FBNkHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GigevB7EIlgmbywL40gIA
MATSURI#1423,priest,AAECAa0GCMUE0wrVCtYK08UCoM4CkNMCifECC6EE5QT2B40I8gz7DNHBAsnHAujQAsvmAr3zAgA= #
