"battletag","class","deckstring"
"muzzy#1105","DRUID","AAECAZICBI7QApnTAuL4AvX8Ag1AX/0C9wPmBeQIm8sCoM0Ch84CmNICntIC29MC1+8CAA=="
"muzzy#1105","HUNTER","AAECAR8IxwOHBMkE180ChtMCy+wCgPMCp4IDC54BqAK1A+sHlwj+DI7DAp3MAt/SAuPSAovlAgA="
"muzzy#1105","PALADIN","AAECAYsWBK8Eg9QC/eoCnvgCDUbzBfUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA"
"Activelee#1763","WARLOCK","AAECAf0GBK8E8wWc4gKPggMNMIQBzgfCCPcMysMCm8sC980Cn84C8tAC0eECh+gC0/gCAA=="
"Activelee#1763","ROGUE","AAECAaIHBsgDrwSdDZ74AuL4Auf6AgyMAssD1AXzBfUF3QiBwgLrwgLKwwLR4QKL5QKm7wIA"
"Activelee#1763","HUNTER","AAECAR8IxwOHBMkE180ChtMCy+wCgPMCp4IDC54BqAK1A+sHlwj+DI7DAp3MAt/SAuPSAovlAgA="
"Activelee#1763","DRUID","AAECAZICBI7QApnTAuL4AvX8Ag1AX/0C9wPmBeQIm8sCoM0Ch84CmNICntIC29MC1+8CAA=="
"Akatsu#11192","DRUID","AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA"
"Akatsu#11192","WARLOCK","AAECAf0GDKMB8gX7BooH+wfMCKDOAsLOApfTAsvsAs30AoCKAwmKAbYH4QeNCOfLAvHQAv3QAojSAtjlAgA="
"Akatsu#11192","SHAMAN","AAECAaoICv8F+wzTxQKc4gKr5wLD6gKn7gKe8ALv9wKZ+wIKgQT1BN4F/gWyBpfBAsfBApvLAvPnAu/xAgA="
"Akatsu#11192","ROGUE","AAECAaIHBogF/MEChsICgNMCz+ECw+oCDMQBnALtAp8DmwXUBYYJl8ECx9MC2+MC9uwC4vgCAA=="
"UchihaSaske#11453","DRUID","AAECAZICCFb+AZnTApvoAv3rApruAuT7AvX8AgtAX+kB3gXkCKDNAofOApjSAp7SAtvTAr/yAgA="
"UchihaSaske#11453","WARLOCK","AAECAf0GCooB8gWKB6DOAqbOAsLOApfTAurmAsvsAs30Agr7BrYH4Qf7B40I58sC8dAC/dACiNIC2OUCAA=="
"UchihaSaske#11453","WARRIOR","AAECAQcKogL8BPkM08UCz8cCw+oCmu4CkvgCnvgCoIADCkuiBN4F/webwgKixwLK5wKD+wKO+wKe+wIA"
"UchihaSaske#11453","SHAMAN","AAECAaoICP8F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA="
"Rase#1355","HUNTER","AAECAR8K+AjGwgLKwwLTxQKG0wKc4gK26gLL7AKA8wKggAMKjQGXCKvCAtjCApzNAt3SAovhAuHjAvLxArn4AgA="
"Rase#1355","ROGUE","AAECAaIHBogF/MEChsICgNMCz+ECw+oCDMQBnALtAp8DmwXUBYYJl8ECx9MC2+MC9uwC4vgCAA=="
"Rase#1355","DRUID","AAECAZICBsQGysMCws4Cr9MC5tMC8eoCDEBf6QHkCMnHApTSApjSAp7SAovhAoTmAt3rAo3wAgA="
"Rase#1355","WARLOCK","AAECAf0GCpME8gWKB8nCApfTAvzlAtjnAtvpApz4AoCKAwr3BLYHysMC58sC8tAC+NACiNICi+EC6uYC6OcCAA=="
"Qwerty97#1908","WARRIOR","AAECAQcGysMC08MC08UCn9MCjvsCoIADDEuRBv8H+wybwgK+wwKbywLMzQLP5wKq7AKb8wKe+wIA"
"Qwerty97#1908","DRUID","AAECAZICCqIJiMEC4scCws4CmNICmdMCr9MC/eEC8eoC9fwCCkBf6QHkCMnHAqDNAp7SAubTAvnmAt3rAgA="
"Qwerty97#1908","WARLOCK","AAECAf0GCooB8gX7B6DOAqbOAsLOApfTAurmAsvsAs30Agr7BooHtgfhB40I58sC8dAC/dACiNIC2OUCAA=="
"Qwerty97#1908","HUNTER","AAECAR8IxwOHBMkE39IChtMCy+wCgPMCp4IDC54BqAK1A+sHlwj+DI7DAp3MAtfNAuPSAovlAgA="
"fibonacci#1545","WARLOCK","AAECAf0GCPIF+wegzgKmzgLCzgKX0wLL7ALN9AIL+waKB7YH4QeNCOfLAvHQAv3QAojSAtjlAurmAgA="
"fibonacci#1545","PRIEST","AAECAa0GCJACxQTVCtYK+wyJzQKQ0wLj9wILoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA="
"fibonacci#1545","WARRIOR","AAECAQcMS5ADtAOQB7IIzM0CnfAC0fUCuPYCkvgC8fsCoIADCRaiBPwE/wf7DJvzAvT1Ap77ArP8AgA="
"fibonacci#1545","DRUID","AAECAZICBsQGmdMCm+gC/esCmu4C5PsCDEBWX+kB3gXkCKDNAofOApjSAp7SAtvTAr/yAgA="
"Nostam#1965","PALADIN","AAECAZ8FBK8Eg9QC/eoCnvgCDUbzBfUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA"
"Nostam#1965","ROGUE","AAECAaIHBsgDrwSdDZ74AuL4Auf6AgyMAssD1AXzBfUF3QiBwgLrwgLKwwLR4QKL5QKm7wIA"
"Nostam#1965","HUNTER","AAECAR8IxwOHBMkE180ChtMCy+wCgPMCp4IDC54BqAK1A+sHlwj+DI7DAp3MAt/SAuPSAovlAgA="
"Nostam#1965","DRUID","AAECAZICBI7QApnTAuL4AvX8Ag1AX/0C9wPmBeQIm8sCoM0Ch84CmNICntIC29MC1+8CAA=="
"HockeyBoyz3#1228","WARLOCK","AAECAfqUAwjtBcwIkMcCl9MCzukCzfQC8fsCgIoDC4oB2wa2B+EHjQjnywLx0AL90AKI0gLY5QLX/gIA"
"HockeyBoyz3#1228","DRUID","AAECAZICCP4BtAPeBZnTApvoAuT7AvH7AvX8AgtAX+kB0wPEBuQIoM0Ch84CmNICntIC29MCAA=="
"HockeyBoyz3#1228","WARRIOR","AAECAQcGS7QDnccCns4CuPYC8fsCDBaQA6IE/AT2B/8Hggj7DL7DAs/nApvzAvT1AgA="
"HockeyBoyz3#1228","PRIEST","AAECAa0GCO0F1wr7DMrDAp3HAtz1AvH7AoiCAwuKAfsB5QT2B/IM0cEC0sECns4C8M8C6NACvfMCAA=="
"Lyme#1767","WARRIOR","AAECAQcIkwT8BNPFAs/HAsPqApL4Ap74AqCAAwtLogKiBN4F/webwgKixwLK5wKD+wKO+wKe+wIA"
"Lyme#1767","DRUID","AAECAZICBu0FmdMC/esCmu4C4vgC5PsCDEBWX+kBxAbkCKDNAofOApjSAp7SAtvTAr/yAgA="
"Lyme#1767","HUNTER","AAECAR8IxwOHBMkE8wWG0wLL7AKA8wKnggMLngGoArUD6weXCP4MjsMCncwC39IC49ICi+UCAA=="
"Lyme#1767","PRIEST","AAECAa0GBMUE1gqJzQKQ0wINoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAonxAr3zAuL4AgA="
"Pelletire#2479","HUNTER","AAECAR8I3gX4CIbTApziArbqAsvsAoDzAqCAAwuNAZcIq8IC2MICm8sCnM0C3dICi+EC4eMC8vECufgCAA=="
"Pelletire#2479","WARLOCK","AAECAf0GCJMEigfJwgKX0wKd4gLY5wLb6QKc+AILigH3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA"
"Pelletire#2479","DRUID","AAECAZICCMQGysMCh84Cws4Cr9MC5tMC8eoC3esCC0Bf6QHkCMnHApTSApjSAp7SAovhAoTmAo3wAgA="
"Pelletire#2479","ROGUE","AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gFmwXUBYYJl8EC/MEC2+MC9uwC4vgCAA=="
"lii#11987","ROGUE","AAECAaIHBK8E/eoCnvgC5/oCDYwCywPUBfMF9QXdCIHCAp/CAuvCAtHhAovlAqbvAuL4AgA="
"lii#11987","WARLOCK","AAECAfqUAwjyBfsGoM4Cps4Cws4Cl9MCy+wCzfQCC4oBige2B+EH+weNCOfLAvHQAv3QAojSAtjlAgA="
"lii#11987","DRUID","AAECAZICCLQDxQTeBcLOApnTApvoAuL4AvX8AgtAX+kB0wPkCKDNAofOApjSAp7SAtvTAr/yAgA="
"lii#11987","PRIEST","AAECAZ/HAgLWCr7IAg74AuUE9geNCNEK0gryDPsM0cEC2MECzswCy+YC/OoCju4CAA=="
"seiger#1577","ROGUE","AAECAaIHBpsFhsICgNMCz+ECw+oC4PoCDMQBnALtAp8DiAXUBYYJl8EC/MEC2+MC9uwC4vgCAA=="
"seiger#1577","DRUID","AAECAZICBsLOAq/TAubTAo3mAvHqAr/yAgxAX+kB5AjJxwKU0gKY0gKe0gKL4QKE5gLd6wKN8AIA"
"seiger#1577","HUNTER","AAECAR8I+AjtCdPFAobTApziArbqAoDzAqCAAwuNAZcIq8IC2MICnM0C3dICi+EC4eMCy+wC8vECufgCAA=="
"seiger#1577","WARLOCK","AAECAf0GCvIFigegzgKmzgLCzgKX0wLq5gLL7ALN9AKAigMK+wa2B+EH+weNCOfLAvHQAv3QAojSAtjlAgA="
